False: खीनाा, True: बी-14
False: डिजाइन, True: डिज़ाइन
False: ओा, True: आई.
False: विभाग, True: विभाग-
False: ओान्दरर, True: आई.
False: कुञ्ज, True: कुन्ज
False: ओ, True: आई.
False: आे, True: आई.
False: बागवानी, True: वागवानीं
False: आई, True: आई.
False: ओ, True: आई.
False: कुञ्ज, True: कुन्ज
False: वैन्दय, True: जे. एन. यू.
False: बागवानी, True: वागवानीं
False: कगन्त, True: मार्ग-एम
False: सणन्त, True: मार्ग-एम
False: हेे, True: टी
False: मण्डपम, True: मण्डपम्
False: मण्डपम, True: मण्डपम्
False: पार्किंग, True: व
False: न्थाथी, True: जे. एन. यू.
False: के, True: के 
False: आई, True: आई.
False: बागवानी, True: वागवानीं
False: सीि, True: टी.
False: अनुसंधानशाल, True: अनुसंधानशाला
False: अनुसंधानशाल, True: अनुसंधानशाला
False: ओ, True: आई.
False: गैह, True: गृह
False: बागवानी, True: वागवानीं
False: अनुसंधानशाल, True: अनुसंधानशाला
False: आगन्तुको, True: आगन्तुको 
False: बागवानी, True: वागवानीं
False: स्रौथायोगिक, True: संस्थान
False: कैन्थी, True: जे. एन. यू.
False: कैम्पस, True: जे. एन. यू.
False: एवमग्री, True: सामग्री
False: आईिलगान, True: आई.
False: अपार्टमेन्ट, True: अपाटमेन्टस
False: सनर, True: सेट
False: मण्डपम, True: मण्डपम्
False: कुञ्ज, True: कुन्ज
False: स्र्थ्योगिक, True: प्रौद्योगिकी
False: कुञ्ज, True: कुन्ज
False: आनन, True: आई.
False: छेन्द्र, True: केन्द्र
False: अपार्टमेन्ट, True: अपाटमेन्टस
False: सैम्थी, True: जे. एन. यू.
False: ओीर्दरर, True: आई.
False: आईिलगान, True: आई.
False: मण्डपम, True: मण्डपम्
False: अेन्ट्, True: मार्ग-एम
False: टार, True: टी.
False: अनुसंधानशाल, True: अनुसंधानशाला
False: बागवानी, True: वागवानीं
False: बागवानी, True: वागवानीं
False: नील, True: नील 
False: ओेन, True: आई.
False: बागवानी, True: वागवानीं
False: एवमग्री, True: सामग्री
False: टार, True: टी.
False: आई, True: आई.
False: संस्दान, True: संस्थान
False: मण्डपम, True: मण्डपम्
False: मण्डपम, True: मण्डपम्
False: हाल, True: पुस्तकालय
False: मण्डपम, True: मण्डपम्
False: ओ, True: आई.
False: ओई, True: आई.
False: आई, True: आई.
False: आई, True: आई.
False: आे, True: आई.
False: वर्कशाप, True: वर्कशाप 
False: आई, True: आई.
False: हुल्तकालय, True: पुस्तकालय
False: टाक, True: टी.
False: मवं, True: एवं
False: आे, True: आई.
False: आई, True: आई.
False: हई, True: टी
False: ओ, True: आई.
False: कुञ्ज, True: कुन्ज
False: कुञ्ज, True: कुन्ज
False: ओ, True: आई.
False: हाल, True: पुस्तकालय
False: मण्डपम, True: मण्डपम्
False: सकटाफ, True: स्टाफ
False: प, True: यू.
False: ओ, True: आई.
False: गैह, True: गृह
False: ओ, True: आई.
False: नैऊथ, True: जे. एन. यू.
False: अनुसंधानशाल, True: अनुसंधानशाला
False: नालय, True: जे. एन. यू.
False: आानरा, True: आई.
False: अपार्टमेन्ट, True: अपाटमेन्टस
False: आटो, True: आटो 
False: ओ, True: आई.
False: क्गेत्र, True: क्षेत्र
False: लई, True: टी
False: ओ, True: आई.
False: नैन्थ, True: जे. एन. यू.
False: आई, True: आई.
False: आा, True: आई.
False: मण्डपम, True: मण्डपम्
False: नई, True: टी
False: इन्द्रप्रस्, True: इन्द्रप्रस्थ
False: गैह, True: गृह
False: गैह, True: गृह
False: प्रौद्य, True: संस्थान
False: आा, True: आई.
False: एम, True: एम 
False: पातुषावास, True: छात्रावास
False: प्रौद्योगिक, True: प्रौद्योगिकी
False: आई, True: आई.
False: हई, True: टी
False: प, True: व
False: मार्ग, True: मार्ग 
False: ओ, True: आई.
False: वम, True: एम
False: आईि, True: आई.
False: आई, True: आई.
False: आई, True: आई.
False: सनट, True: सेट
False: व, True:  व
False: वुञ्त, True: कुन्ज
False: आई, True: आई.
False: मरि्च, True: यू.
False: आई, True: आई.
False: के, True: के 
False: आाज्, True: जे. एन. यू.
False: एैम्पस, True: जे. एन. यू.
False: ओा, True: आई.
False: लील, True: टी
False: जैनाती, True: जे. एन. यू.
False: जनटेटर, True: सेट
False: आई, True: आई.
False: ओ, True: आई.
False: आगन्तुको, True: आगन्तुको 
False: संस्थायोगिक, True: प्रौद्योगिकी
False: टीिला, True: टी
False: सगन्त्, True: मार्ग-एम
False: मण्डपम, True: मण्डपम्
False: कुञ्ज, True: कुन्ज
False: हाल्तकालय, True: पुस्तकालय
False: डिजाइन, True: डिज़ाइन
False: सवमग्री, True: सामग्री
False: इन्द्रप्रस्, True: इन्द्रप्रस्थ
False: कर, True: दिल्ली
False: मी, True: टी
False: ओा, True: आई.
False: लिए, True: लिए 
False: नुर्, True: एन. यू.
False: सावध, True: सावधा
False: डस, True: दर 
False: वुञ्त, True: कुन्ज
False: कैश्थी, True: जे. एन. यू.
False: आई, True: आई.
False: आई, True: आई.
False: सेटेटर, True: सेट
False: आा, True: आई.
False: सवमग्री, True: सामग्री
False: नीन, True: नील
False: ओ, True: आई.
False: हेल, True: टी
False: आई, True: आई.
False: लीे, True: टी
False: ओ, True: आई.
False: वार्किं, True: व
False: ओ, True: आई.
False: आई, True: आई.
False: नई, True: टी
False: आईन्ा, True: आई.
False: विभाग, True: विभाग 
False: ओ, True: आई.
False: सांग्री, True: सामग्री
False: सेटाफ, True: स्टाफ
False: अनुसंधानशाल, True: अनुसंधानशाला
False: छेत्र, True: क्षेत्र
False: कैह, True: गृह
False: आई, True: आई.
False: आई, True: आई.
False: द्ल्ली, True: दिल्ली
False: ले, True: टी
False: कैम्पस, True: जे. एन. यू.
False: मृद, True: एवं
False: मण्डपम, True: मण्डपम्
False: हे, True: टी
False: प्रौथ्योगिक, True: प्रौद्योगिकी
False: कुञ्ज, True: कुन्ज
False: ओई, True: आई.
False: आई, True: आई.
False: कुञ्ज, True: कुन्ज
False: मृद, True: एवं
False: मण्डपम, True: मण्डपम्
False: ओ, True: आई.
False: हई, True: टी
False: कुञ्ज, True: कुन्ज
False: कुञ्ज, True: कुन्ज
False: ओेड्ग, True: आई.
False: ओ, True: आई.
False: कुञ्ज, True: कुन्ज
False: कसञ्त, True: कुन्ज
False: इन्द्रप्रस्, True: इन्द्रप्रस्थ
False: मवं, True: एवं
False: बागवानी, True: वागवानीं
False: हौम््स, True: जे. एन. यू.
False: सीिला, True: टी
False: मण्डपम, True: मण्डपम्
False: मण्डपम, True: मण्डपम्
False: दौल्ाी, True: दिल्ली
False: मण्डपम, True: मण्डपम्
False: सवमग्री, True: सामग्री
False: वुञ्ज, True: कुन्ज
False: सैम्, True: जे. एन. यू.
False: कैम्पस, True: जे. एन. यू.
False: नईे, True: टी
False: मण्डपम, True: मण्डपम्
False: हे, True: टी
False: ओान्ग, True: आई.
False: इन्द्रप्रस्, True: इन्द्रप्रस्थ
False: बागवानी, True: वागवानीं
False: ओ, True: आई.
False: अपार्टमेन्ट, True: अपाटमेन्टस
False: प्रौद्योगिक, True: प्रौद्योगिकी
False: ओा, True: आई.
False: कुञ्त, True: कुन्ज
False: सवमग्री, True: सामग्री
False: कैथ्पी, True: जे. एन. यू.
False: ओ, True: आई.
False: पि, True: पर
False: दिल्ाी, True: दिल्ली
False: अनुसंधानशाल, True: अनुसंधानशाला
False: कुञ्ज, True: कुन्ज
False: दौल्ली, True: दिल्ली
False: कुञ्ज, True: कुन्ज
False: ओ, True: आई.
False: मण्डपम, True: मण्डपम्
False: मृर, True: मदर 
False: ओ, True: आई.
True: 1925, False: 1135
Accuracy: 0.6290849673202614
Total: 3060
